FT	ID	AT	WT	ST	
537	511	486	48	3	
545	515	487	52	6	
547	568	543	0	4	
549	464	437	92	20	
551	574	547	0	4	
552	575	549	0	3	
552	458	431	90	31	
567	562	536	14	17	
569	590	561	0	8	
586	586	558	10	18	
589	605	574	9	6	
596	599	569	0	27	
614	594	565	17	32	

Region B:
	Orders: 144 [Norm:24, Froz:48, VIP:72]
	MotorC: 11  [Norm:6, Froz:3, VIP:2]
	Avg Wait = 11.4792,  Avg Serv = 14.9583
----------------------------------------------------------

FT	ID	AT	WT	ST	
26	20	16	0	10	
36	29	25	0	11	
47	34	30	0	17	
48	36	31	0	17	
51	44	40	0	11	
54	42	38	0	16	
67	56	52	0	15	
69	58	55	0	14	
74	55	51	10	13	
75	73	65	0	10	
86	72	65	0	21	
98	92	93	0	5	
111	105	106	0	5	
112	103	102	0	10	
113	62	57	0	56	
131	113	121	0	10	
137	115	123	0	14	
146	124	131	0	15	
151	133	138	0	13	
152	140	147	0	5	
168	123	131	0	37	
173	150	157	0	16	
177	144	153	7	17	
177	142	151	0	26	
181	154	162	0	19	
198	167	171	17	10	
200	157	165	0	35	
203	173	177	16	10	
207	162	168	0	39	
213	185	188	14	11	
219	175	179	20	20	
222	208	206	1	15	
222	191	192	12	18	
227	207	206	6	15	
249	216	217	6	26	
252	250	243	0	9	
252	229	224	10	18	
256	178	181	60	15	
264	279	261	0	3	
269	256	248	0	21	
272	263	254	0	18	
283	290	276	0	7	
283	179	181	89	13	
296	307	288	1	7	
301	196	197	77	27	
303	197	197	98	8	
308	311	294	0	14	
308	295	280	0	28	
314	319	309	0	5	
324	269	256	0	68	
330	320	310	0	20	
331	318	307	0	24	
333	325	312	6	15	
334	331	320	1	13	
350	342	328	7	15	
352	332	320	7	25	
356	349	340	9	7	
357	335	321	26	10	
368	337	322	24	22	
372	202	204	158	10	
384	242	234	147	3	
386	371	365	0	21	
387	387	376	0	11	
393	213	211	165	17	
397	243	234	152	11	
402	407	390	0	12	
412	419	402	0	10	
412	395	382	0	30	
413	254	247	160	6	
421	435	418	0	3	
430	281	262	161	7	
432	432	415	0	17	
433	270	256	153	24	
437	447	426	0	11	
439	421	403	3	33	
447	450	427	9	11	
460	479	452	0	8	
461	462	435	6	20	
467	283	266	190	11	
470	287	274	183	13	
473	413	394	0	79	
475	490	467	0	8	
483	299	284	193	6	
491	302	285	197	9	
494	512	486	0	8	
495	520	492	0	3	
504	306	287	201	16	
514	313	298	201	15	
525	321	310	209	6	
532	550	526	0	6	
536	323	310	218	8	
540	552	529	0	11	
541	542	515	0	26	
545	565	538	0	7	
546	330	317	213	16	
549	558	530	0	19	
554	348	339	204	11	
556	569	544	6	6	
560	570	545	6	9	
565	368	360	201	4	
575	386	376	192	7	
583	595	567	0	16	
584	592	562	2	20	
584	591	562	0	22	
586	600	570	0	16	
593	394	381	200	12	
608	404	389	214	5	
609	429	414	190	5	
618	480	456	157	5	
623	572	546	5	72	
632	456	429	183	20	
633	483	462	160	11	
648	493	470	173	5	
658	508	485	167	6	
664	498	475	176	13	
676	516	487	176	13	
679	519	491	185	3	
692	522	494	187	11	
695	545	519	169	7	
716	547	525	176	15	
719	554	529	173	17	
741	580	553	182	6	
743	556	530	200	13	
766	593	564	182	20	

Region C:
	Orders: 124 [Norm:10, Froz:49, VIP:65]
	MotorC: 5  [Norm:4, Froz:0, VIP:1]
	Avg Wait = 58.9435,  Avg Serv = 15.4516
----------------------------------------------------------

FT	ID	AT	WT	ST	
17	4	6	0	11	
21	12	8	0	13	
22	22	18	0	4	
34	19	15	0	19	
34	13	8	0	26	
38	21	17	0	21	
40	24	19	0	21	
43	40	35	0	8	
45	31	29	0	16	
48	46	43	0	5	
50	35	30	0	20	
55	48	44	0	11	
61	63	57	0	4	
61	61	57	0	4	
67	53	50	0	17	
75	75	70	0	5	
77	71	63	0	14	
78	59	56	0	22	
82	81	79	0	3	
82	77	72	0	10	
82	74	67	0	15	
90	88	87	0	3	
92	87	86	0	6	
95	80	77	0	18	
97	91	89	0	8	
103	83	79	12	12	
105	100	101	0	4	
106	95	95	0	11	
111	94	94	2	15	
115	108	111	0	4	
117	102	102	0	15	
134	111	114	0	20	
135	106	109	3	23	
138	112	119	0	19	
142	134	139	0	3	
143	118	127	0	16	
153	137	144	0	9	
162	143	153	0	9	
168	156	164	0	4	
168	146	154	0	14	
169	155	164	0	5	
176	164	168	0	8	
177	153	162	0	15	
178	170	172	0	6	
180	159	166	0	14	
189	172	176	0	13	
195	190	191	0	4	
200	182	183	0	17	
211	211	209	0	2	
214	201	203	0	11	
214	187	189	0	25	
223	195	197	0	26	
224	212	210	0	14	
234	233	227	0	7	
248	237	231	0	17	
251	253	247	0	4	
252	244	234	3	15	
256	266	254	0	2	
259	228	224	0	35	
262	264	254	0	8	
265	273	257	0	8	
278	268	256	0	22	
281	267	254	0	27	
282	286	273	0	9	
291	297	280	0	11	
294	303	285	0	9	
307	309	291	0	16	
308	317	303	0	5	
308	304	286	0	22	
312	316	302	0	10	
336	340	325	0	11	
341	343	332	0	9	
351	353	347	0	4	
360	356	348	0	12	
366	367	357	0	9	
367	357	349	0	18	
375	363	356	0	19	
375	358	350	0	25	
386	375	367	0	19	
391	378	367	0	24	
399	414	394	0	5	
399	388	378	6	15	
402	408	391	0	11	
403	385	373	0	30	
412	390	379	14	19	
415	422	403	0	12	
416	430	414	0	2	
417	397	384	29	4	
421	399	385	29	7	
426	439	421	0	5	
436	459	432	0	4	
440	465	437	0	3	
440	424	405	15	20	
441	452	428	0	13	
441	442	423	0	18	
444	467	440	0	4	
447	469	441	0	6	
449	434	418	9	22	
451	472	443	0	8	
466	477	445	2	19	
475	484	464	0	11	
476	494	471	0	5	
485	503	481	0	4	
489	510	485	0	4	
493	501	479	0	14	
496	513	487	0	9	
499	507	484	0	15	
504	525	497	0	7	
504	502	480	0	24	
506	506	484	0	22	
510	517	488	0	22	
517	527	500	0	17	
521	534	508	0	13	
525	540	515	0	10	
535	549	526	0	9	
537	543	516	0	21	
538	560	532	0	6	
544	566	540	0	4	
547	553	529	0	18	
552	559	531	0	21	
553	563	536	0	17	
557	578	551	0	6	
560	571	545	0	15	
567	577	550	0	17	
578	596	567	0	11	
582	603	573	0	9	
585	601	572	0	13	

Region D:
	Orders: 127 [Norm:16, Froz:48, VIP:63]
	MotorC: 15  [Norm:9, Froz:4, VIP:2]
	Avg Wait = 0.976378,  Avg Serv = 12.5197

_________________________________________________________________________
_________________________________________________________________________

Restaurant:
	Orders: 542 [Norm:69, Froz:206, VIP:267]
	MotorC: 40  [Norm:24, Froz:10, VIP:6]
	Avg Wait = 22.3124,  Avg Serv = 14.5623
